# Present_dist_to_MW[kpc] Present_dist_to_Sun[kpc] Time[Myr] Init_Time[Myr] Gal_long[deg] Gal_lat[deg] Right_asc[hms] Decl[dms] Vel_mag[kpc/Myr] vx[kpc/Myr] vy[kpc/Myr] vz[kpc/Myr] Init_x[kpc] Init_y[kpc] Init_z[kpc] Init_vel_mag[kpc/Myr] Init_vx[kpc/Myr] Init_vy[kpc/Myr] Init_vz[kpc/Myr]
23.019590081394295 22.62701479291426 13800.0 10810.147035102651 -80.66451949676146 35.35283848850801 11h27m54.5381s -23d39m45.1124s 0.6701077877110341 0.3838496399941328 -0.5416280509690781 0.09133978011134448 1.125972251665697 -2.6315903205143174 -0.062137615158676295 0.6704139289350427 -0.6476310015949466 -0.17328394775067388 0.0012630657894544025
20.12710378771394 21.038195871968366 13800.0 11268.894062619504 51.00053831244512 -61.18013038461205 22h57m52.6386s -15d27m09.2928s 0.741430531265934 0.24843625087836352 -0.6549722637896653 0.24291973079399895 0.5861912767058737 0.3687609834324386 0.9368684064334056 0.7209910858149277 -0.7166389518953092 0.030674392302793556 0.07290980803592428
25.608594106951433 30.679488513695475 13800.0 10978.373388592243 -32.683890684069404 33.47280716479762 14h20m52.0613s -25d07m46.1676s 0.7361621562406213 0.2110155384530314 -0.7048986415594276 -0.02291436099680043 0.08906368562133693 0.5983382026686328 -0.42058351621151785 0.7198736088457783 -0.7176132056895845 0.05543112922162601 -0.013292465752375573
25.274984176243358 31.532764051208513 13800.0 10617.030581277148 -27.344618897038107 22.791601646776346 15h02m33.3996s -32d24m18.984s 0.7296895779957678 0.059890385839878324 -0.7245586253531242 0.06224805495742984 0.044853854570081154 -0.8770846458507632 -0.24811727235053144 0.7067847960227022 -0.6994532271526732 -0.10132132953290243 -0.006627148425133614
18.968690726222782 24.678196027840325 13800.0 10499.118318929852 38.40717336424912 -2.1608019766451356 19h09m09.0505s +03d52m47.7849s 0.7243584522930933 0.16272334486410267 -0.6850175339995802 0.1701977043259332 0.419321255700685 0.2763298903707599 -0.27116213280870455 0.7062495561656034 -0.7057563045989581 0.007964774045521324 -0.02516021616238875
22.424805676844496 29.752944653762302 13800.0 10547.508762327625 -12.248825764882582 19.157630359700345 16h03m48.2462s -26d31m55.211s 0.7317561596417381 0.060258358569093826 -0.7196732161704741 0.11792569407482645 -0.4594895976789419 -1.0419227801460096 -1.4323709768922435 0.687575278849198 -0.6746618969385387 -0.09729195117288346 -0.09014080730067918
19.795311652697468 26.630754230914683 13800.0 10530.127151311948 25.97253464121097 -11.137236670645585 19h19m00.0642s -11d10m46.1206s 0.7198008161954742 0.14125729021086803 -0.6763763595874637 0.20167948122990478 0.18145877520519138 0.0694228793408271 -0.19278850089925745 0.709848060025517 -0.7091123233513908 -0.021263687903744184 -0.024327695532352037
17.388210546828976 13.982923893409444 13800.0 10853.32985554921 -101.07072828159428 -24.576930137705602 06h25m28.381s -50d31m05.9826s 0.6922737231465628 0.34527437533345057 -0.5509401406413157 0.23768356049046935 -1.601865737314256 -0.9832710256037132 -1.123934360755289 0.6863641818589119 -0.6813582512434401 -0.031340787004510415 -0.07657988424692638
10.427452505771733 14.484041012353954 13800.0 11100.430546138796 -42.92456819549886 -14.517055717537602 16h07m48.7185s -71d45m38.144s 0.7458696795631061 0.319541374680835 -0.5582843694896885 0.37753602681353976 -5.185552980045713 -2.094395888809615 1.2710553811723884 0.6142399288990082 -0.612816373593637 -0.0392929408968508 0.014242447299508292
14.394781194503196 20.337759996653027 13800.0 11013.990283013258 -32.96867495186024 11.695145082794202 15h08m18.0786s -44d40m40.2111s 0.7464332511129037 0.3936216059562469 -0.632231733447366 -0.05007659047442159 3.6808703888599568 1.214819505785614 -2.9115812237964698 0.6298724330795118 -0.5736677829740623 0.11114422011872112 -0.2351414873333277
17.845020601874353 12.105215418525441 13800.0 11064.937007145063 -122.03696287349473 -0.9545026676664152 07h35m55.2156s -22d35m17.898s 0.7159388915786281 0.360839685718486 -0.5893639021638735 0.18711870166178213 5.947734180318702 -2.1428060540382172 3.6899337038210014 0.5856629627696426 -0.5244953572689335 -0.106811930861087 0.2376908445632182
17.878133773814305 22.713677653644876 13800.0 11493.537081468632 2.6825481275723493 44.83633956046611 15h22m32.4798s +00d12m17.4517s 0.8065451158531348 0.24922394237754064 -0.7635153370631611 0.07380230702132855 -0.8058160887862476 2.1302420008078182 -1.6377074341365474 0.7017581493675108 -0.6920573012327932 0.09996835954293508 -0.05939292133235251
20.409267487537804 20.760259966401073 13800.0 10662.909979227223 -53.17816288418334 -66.4428706069923 00h41m38.5702s -50d36m40.8125s 0.6810670554707335 0.24953439214417578 -0.571420269378621 0.2739777307156115 -3.2842256257628044 -2.2790399050371524 0.599689375054926 0.635096392870168 -0.6310416880670519 -0.07148081362991222 -0.00493046052515241
15.644887625659264 8.313233161472253 13800.0 11501.857014826797 -177.42352604748214 36.806367219931516 08h38m33.5439s +39d17m37.9825s 0.781355859790005 0.3592425200510745 -0.6730582968482262 0.16868408478364647 1.0369920515833833 0.20203167492550003 0.6241212012513921 0.7337268961618085 -0.728208096874327 0.0471653869019457 0.07644312968672788
12.188565045747412 17.07537788509277 13800.0 11546.576133740342 28.18711186946915 -31.50300462310058 20h39m25.7513s -17d31m12.0553s 0.8230276266568006 0.2445024632097349 -0.7370004109562764 0.27280655046200375 -0.25903532048378153 -0.15824081064546391 -1.2661292526770505 0.7347788832531125 -0.7278851480673325 -0.021766150676322975 -0.09802781841102086
